id,userId,projectId,sessionId,startedAt,completedAt,abandonedAt,timeSpentMinutes,stepReached,status,step1Completed,step2Completed,step3Completed,step4Completed,wasSaved,wasRestored,saveCount,deviceType,browserInfo,userAgent,createdAt,updatedAt
cmdu2hl8o0001jv043l1w03ds,cmdhlspvo00024793xdi0r7f5,cmdnev1cp000947bc3r73y9is,app_session_1754127945432_o8uleet3b,8/2/2025 9:45:46,8/2/2025 9:46:04,,0,4,COMPLETED,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,desktop,Chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",8/2/2025 9:45:46,8/2/2025 9:46:04
cmdu2juf10003jv04bei0fv8s,cmdu2fq010004gv04vxsjq1wu,cmdnev4fx000h47bc5dvuypy4,app_session_1754128050864_etk55eoee,8/2/2025 9:47:31,,,,4,IN_PROGRESS,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,mobile,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 383.0.0.34.85 (iPhone15,4; iOS 18_5; en_US; en; scale=3.00; 1179x2556; IABMV/1; 743053314) Safari/604.1",8/2/2025 9:47:31,8/2/2025 9:52:03
cmdu2pp0u0005jv048rx6xlps,cmdu2fq010004gv04vxsjq1wu,cmdnev4fx000h47bc5dvuypy4,app_session_1754128323822_sw0emc98z,8/2/2025 9:52:04,8/2/2025 9:52:20,,0,1,COMPLETED,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,0,mobile,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 383.0.0.34.85 (iPhone15,4; iOS 18_5; en_US; en; scale=3.00; 1179x2556; IABMV/1; 743053314) Safari/604.1",8/2/2025 9:52:04,8/2/2025 9:52:20
cmdu2ppcc0001l804h6lrclgz,cmdu2fq010004gv04vxsjq1wu,cmdnev4fx000h47bc5dvuypy4,app_session_1754128323978_5w03b2y20,8/2/2025 9:52:04,,,,1,IN_PROGRESS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,mobile,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 383.0.0.34.85 (iPhone15,4; iOS 18_5; en_US; en; scale=3.00; 1179x2556; IABMV/1; 743053314) Safari/604.1",8/2/2025 9:52:04,8/2/2025 9:52:04
cmdu2qn540003l2046gao7qj8,cmdu2fq010004gv04vxsjq1wu,cmdnev3o0000f47bc5ri578uj,app_session_1754128368026_5vex3hukr,8/2/2025 9:52:48,8/2/2025,,3,4,COMPLETED,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,mobile,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 383.0.0.34.85 (iPhone15,4; iOS 18_5; en_US; en; scale=3.00; 1179x2556; IABMV/1; 743053314) Safari/604.1",8/2/2025 9:52:48,8/2/2025 9:55:57
cmdu2vwfn0009l804crrk7exi,cmdu2fq010004gv04vxsjq1wu,cmdnet6ze0008475bbkbutcdd,app_session_1754128613348_8yq6nuvag,8/2/2025 9:56:53,8/2/2025 9:59:05,,2,4,COMPLETED,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,mobile,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 383.0.0.34.85 (iPhone15,4; iOS 18_5; en_US; en; scale=3.00; 1179x2556; IABMV/1; 743053314) Safari/604.1",8/2/2025 9:56:53,8/2/2025 9:59:05
cmdu2x09j0005l204e105fd8z,cmdu2ssoy0002l804kodh76ge,cmdnev1cp000947bc3r73y9is,app_session_1754128664982_87bc7mez3,8/2/2025 9:57:45,,,,1,IN_PROGRESS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,mobile,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/22F76 Instagram 386.0.0.20.82 (iPhone14,6; iOS 18_5; en_US; en; scale=2.00; 750x1334; IABMV/1; 751752074) Safari/604.1",8/2/2025 9:57:45,8/2/2025 9:57:45
cmdu3ub460001l204pgxgs89z,cmdhlspvo00024793xdi0r7f5,cmdneuyyi000347bczep58ipr,app_session_1754130218423_5eevdkdjb,8/2/2025 10:23:39,,,,1,IN_PROGRESS,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,desktop,Chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",8/2/2025 10:23:39,8/2/2025 10:23:49
cmdu3ujda0003l204sq9to1fr,cmdhlspvo00024793xdi0r7f5,cmdneuyyi000347bczep58ipr,app_session_1754130229389_4xi97un9h,8/2/2025 10:23:49,,8/2/2025 10:23:52,0,1,ABANDONED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,desktop,Chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",8/2/2025 10:23:49,8/2/2025 10:23:52
cmdu3ujmh0001l4040rzjn92t,cmdhlspvo00024793xdi0r7f5,cmdneuyyi000347bczep58ipr,app_session_1754130229476_e4eu183hp,8/2/2025 10:23:50,,,,1,IN_PROGRESS,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,desktop,Chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36",8/2/2025 10:23:50,8/2/2025 10:23:50
cmdu4h2ij000gl70476sf9vlg,cmdu3yy5p0000l7041cvcfex0,cmdneuzre000547bcqzwir5u9,app_session_1754131280533_0st77974y,8/2/2025 10:41:21,,8/2/2025 10:41:28,0,1,ABANDONED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,mobile,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/379.0.786762118 Mobile/15E148 Safari/604.1",8/2/2025 10:41:21,8/2/2025 10:41:28
cmdu4igfo000il7042egsgemg,cmdu3yy5p0000l7041cvcfex0,cmdnet6ze0008475bbkbutcdd,app_session_1754131345316_1ii6i94ao,8/2/2025 10:42:25,,,,1,IN_PROGRESS,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,mobile,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_5_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/379.0.786762118 Mobile/15E148 Safari/604.1",8/2/2025 10:42:25,8/2/2025 10:43:33
